,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
167,2,7,8,8,6,6,7,1,7,1,2,1,7,2,2,4,6,3,3,5,7,5,5,3,3,4,6,3,7,1,1,4,4,1,7,8,3,5,4,2
168,5,7,8,7,7,2,4,5,5,4,1,4,7,8,6,7,5,1,7,6,3,2,5,6,7,1,3,2,5,7,4,5,2,1,7,1,7,1,3,5
169,5,2,6,2,1,7,8,1,1,6,1,4,3,8,7,1,2,5,8,8,8,8,1,1,8,6,8,3,1,6,5,1,7,6,2,6,4,6,2,8
170,5,4,1,3,3,2,3,5,8,5,8,6,8,4,7,2,3,8,3,8,2,1,3,3,4,7,5,5,6,3,7,6,8,4,6,1,6,5,3,4
171,6,7,5,3,6,4,4,7,8,1,3,3,7,5,8,8,7,4,8,4,7,1,8,1,6,4,7,8,1,1,5,5,5,2,2,6,6,3,2,4
172,6,5,5,6,2,4,8,5,1,6,5,6,5,4,3,3,3,2,3,8,2,1,2,7,4,3,1,4,8,2,2,4,2,8,8,5,4,7,8,8
173,1,3,6,2,1,8,7,4,4,2,6,5,2,5,2,2,7,3,7,7,2,3,5,5,8,6,5,4,8,8,7,6,3,3,1,2,3,6,6,4
174,8,2,4,7,4,7,8,2,1,7,3,8,5,2,2,1,6,1,4,7,4,6,1,1,4,3,7,6,1,5,5,2,8,5,5,6,8,2,6,3
175,7,2,4,6,7,6,3,4,3,3,6,3,7,4,6,5,7,7,2,8,1,2,2,1,4,6,4,5,5,4,5,4,8,8,1,8,7,7,8,7
176,5,6,7,6,5,8,2,8,3,8,8,2,7,8,2,4,4,3,1,3,7,6,7,6,6,5,2,4,7,8,1,8,7,5,6,6,3,1,7,2
177,5,7,1,8,5,3,8,1,7,5,2,6,7,1,7,6,8,2,8,7,7,7,6,2,6,7,5,2,8,2,1,6,6,2,6,4,5,8,7,1
178,4,3,5,6,8,4,7,1,2,2,6,4,2,7,4,4,7,2,8,1,3,2,1,7,1,5,3,4,3,6,3,1,6,7,4,8,6,7,4,5
179,4,7,5,8,4,4,8,5,3,2,3,2,6,3,7,7,8,4,7,8,2,7,1,8,7,2,6,6,2,3,2,3,5,5,1,7,1,3,1,7
180,2,5,8,3,6,6,8,5,5,7,3,7,7,6,4,6,7,8,4,2,5,8,3,2,2,4,8,2,3,4,5,4,1,7,2,7,4,3,6,4
181,5,2,1,7,8,3,5,5,6,5,5,1,1,5,3,6,4,4,5,1,7,7,3,3,7,3,7,3,2,2,4,4,1,1,3,2,8,1,1,2
182,7,4,5,6,8,6,1,2,5,7,2,2,2,3,5,8,7,2,8,4,6,7,4,8,8,5,8,1,8,5,6,8,5,8,5,6,8,6,4,4
183,6,7,1,1,5,5,8,8,8,5,5,1,4,4,2,8,7,3,6,4,7,3,5,2,1,8,3,4,2,4,7,8,2,3,5,2,5,8,3,5
184,7,6,1,1,4,6,8,7,7,4,6,6,5,6,5,1,2,3,5,6,2,5,8,5,5,7,4,3,4,1,6,2,7,1,7,3,3,6,2,7
185,7,3,6,1,1,5,6,5,7,5,4,7,8,7,6,7,4,6,3,8,5,7,5,5,5,3,1,4,7,2,1,4,2,4,6,2,4,7,4,5
186,1,7,7,6,8,3,4,6,1,5,4,7,8,8,5,6,5,7,2,8,3,2,1,2,2,4,5,5,6,8,6,6,2,6,8,4,2,5,5,5
187,2,2,6,1,3,1,7,1,8,7,6,2,5,6,3,3,4,3,3,6,7,2,4,8,3,7,8,7,1,3,5,1,2,8,5,5,4,5,7,2
188,1,5,7,3,3,7,4,2,1,8,3,3,1,4,2,2,2,5,4,2,1,8,8,8,1,6,3,5,1,6,4,2,2,5,5,4,2,4,6,7
189,2,7,8,2,4,4,8,1,2,6,5,3,1,2,3,4,5,3,6,2,8,3,4,7,2,2,1,1,4,1,8,2,3,3,1,4,6,5,5,7
190,3,3,2,1,7,4,4,7,6,8,6,7,5,6,8,8,8,7,6,3,3,4,7,1,6,7,4,2,3,5,6,6,7,8,4,8,5,4,4,4
191,8,7,8,5,7,3,5,7,1,3,8,5,3,1,7,6,8,3,3,1,8,8,2,1,1,5,8,8,7,3,6,8,7,1,3,2,7,8,1,8
192,1,5,4,8,4,8,8,4,7,1,8,8,3,2,3,8,7,5,8,7,8,6,5,7,4,4,5,7,1,7,3,8,5,4,6,4,6,6,3,3
193,2,1,7,2,2,6,4,5,3,4,8,4,2,6,4,8,1,2,8,3,3,8,2,2,2,2,3,1,3,5,6,4,8,8,4,3,7,7,4,7
194,7,1,4,1,8,7,1,2,6,7,8,5,3,3,7,8,8,3,5,2,4,1,4,2,5,2,1,7,8,6,1,8,5,2,2,7,2,5,5,5
195,2,1,4,8,6,6,7,8,6,4,8,3,8,4,7,7,2,5,6,3,5,8,6,1,2,4,2,3,8,1,4,3,6,2,6,3,4,7,1,7
196,1,6,8,3,8,8,7,7,5,8,8,5,1,7,4,2,1,3,4,6,6,5,2,5,7,8,2,7,2,7,6,5,5,1,5,5,6,1,6,2
197,8,5,6,1,6,8,7,4,6,8,3,7,2,3,6,7,3,7,3,6,5,6,7,6,5,1,1,2,1,8,3,5,8,7,2,6,1,8,8,5
198,4,5,4,7,6,8,3,5,1,8,4,4,3,5,2,2,7,8,6,3,6,5,1,7,6,2,3,8,2,2,6,3,6,6,4,2,3,8,8,1
199,8,5,8,6,7,4,5,2,1,6,3,6,4,3,4,8,3,4,8,6,4,5,8,8,4,6,3,4,7,2,1,3,5,1,4,2,2,7,3,1
